time,EEG_amplitude
0,-87.21
1,-93.84
2,-89.76
3,-81.6
4,-75.48
5,-71.4
6,-73.95
7,-78.03
8,-75.48
9,-77.52
10,-91.8
11,-96.9
12,-85.17
13,-76.5
14,-74.97
15,-77.52
16,-88.23
17,-101.49
18,-103.53
19,-99.96
20,-96.9
21,-88.74
22,-79.05
23,-80.07
24,-90.27
25,-94.35
26,-90.78
27,-92.31
28,-96.9
29,-97.92
30,-95.37
31,-96.39
32,-96.39
33,-92.82
34,-96.39
35,-104.55
36,-105.06
37,-101.49
38,-103.53
39,-100.98
40,-92.82
41,-89.76
42,-88.74
43,-87.72
44,-89.25
45,-90.78
46,-91.8
47,-96.9
48,-86.7
49,-67.83
50,-70.38
51,-80.58
52,-77.52
53,-78.54
54,-91.29
55,-91.29
56,-84.66
57,-88.74
58,-85.17
59,-79.05
60,-88.23
61,-91.29
62,-80.07
63,-86.19
64,-106.59
65,-106.59
66,-96.9
67,-93.33
68,-85.68
69,-77.52
70,-85.68
71,-91.8
72,-80.07
73,-84.15
74,-109.65
75,-116.79
76,-106.59
77,-108.12
78,-116.28
79,-116.28
80,-112.71
81,-103.02
82,-84.15
83,-78.54
84,-94.86
85,-102.51
86,-95.37
87,-92.82
88,-93.84
89,-99.45
90,-108.63
91,-110.16
92,-109.14
93,-107.1
94,-93.84
95,-86.19
96,-97.92
97,-105.57
98,-98.94
99,-98.43
100,-99.96
101,-91.29
102,-89.76
103,-103.02
104,-107.1
105,-96.39
106,-91.29
107,-95.88
108,-89.25
109,-74.97
110,-71.4
111,-71.4
112,-63.75
113,-56.61
114,-60.69
115,-69.87
116,-78.03
117,-81.6
118,-75.99
119,-65.28
120,-59.16
121,-61.2
122,-67.83
123,-82.62
124,-97.41
125,-94.35
126,-80.58
127,-77.52
128,-64.26
129,-68.85
130,-74.97
131,-62.73
132,-61.2
133,-84.66
134,-94.86
135,-81.09
136,-71.91
137,-63.24
138,-46.92
139,-39.78
140,-48.45
141,-55.08
142,-61.71
143,-73.95
144,-84.66
145,-93.84
146,-98.43
147,-85.68
148,-74.46
149,-78.54
150,-68.34
151,-55.59
152,-69.87
153,-79.05
154,-66.81
155,-58.65
156,-52.02
157,-47.43
158,-53.55
159,-61.2
160,-78.03
161,-100.47
162,-109.14
163,-108.63
164,-112.71
165,-113.73
166,-103.02
167,-83.13
168,-65.28
169,-59.67
170,-58.65
171,-60.69
172,-64.77
173,-64.77
174,-69.87
175,-79.56
176,-82.62
177,-81.6
178,-77.01
179,-71.4
180,-79.56
181,-95.37
182,-95.88
183,-93.33
184,-97.41
185,-92.31
186,-79.05
187,-66.81
188,-58.14
189,-60.18
190,-70.38
191,-82.62
192,-91.8
193,-96.9
194,-98.43
195,-97.92
196,-94.35
197,-87.21
198,-75.99
199,-74.46
200,-76.5
201,-66.3
202,-64.26
203,-82.62
204,-80.07
205,-55.59
206,-52.53
207,-69.36
208,-82.11
209,-96.39
210,-112.2
211,-113.73
212,-105.06
213,-93.33
214,-78.03
215,-76.5
216,-89.76
217,-93.84
218,-94.86
219,-108.12
220,-114.24
221,-109.65
222,-111.18
223,-108.12
224,-94.35
225,-92.31
226,-103.02
227,-100.98
228,-90.78
229,-95.37
230,-106.08
231,-104.55
232,-100.98
233,-106.59
234,-112.71
235,-109.65
236,-105.57
237,-98.43
238,-82.62
239,-80.58
240,-94.35
241,-99.45
242,-93.84
243,-85.17
244,-79.56
245,-78.03
246,-77.01
247,-71.91
248,-68.34
249,-70.89
250,-77.01
251,-87.72
252,-92.82
253,-86.7
254,-81.09
255,-93.84
256,-107.61
257,-98.94
258,-86.7
259,-88.23
260,-96.39
261,-100.47
262,-101.49
263,-108.63
264,-111.18
265,-98.43
266,-88.23
267,-93.33
268,-90.27
269,-78.03
270,-69.87
271,-71.91
272,-90.78
273,-114.24
274,-119.85
275,-107.61
276,-94.86
277,-91.8
278,-96.9
279,-99.96
280,-93.84
281,-94.35
282,-96.39
283,-84.15
284,-77.01
285,-93.84
286,-118.32
287,-128.01
288,-128.01
289,-128.01
290,-121.38
291,-102.0
292,-89.25
293,-94.35
294,-88.74
295,-72.42
296,-69.87
297,-71.91
298,-83.13
299,-110.16
300,-122.4
301,-107.1
302,-95.37
303,-93.84
304,-90.78
305,-95.37
306,-102.0
307,-97.41
308,-93.84
309,-95.37
310,-91.29
311,-82.62
312,-77.01
313,-77.01
314,-86.7
315,-96.39
316,-95.88
317,-97.92
318,-97.41
319,-84.15
320,-67.32
321,-52.53
322,-36.72
323,-24.48
324,-24.48
325,-42.84
326,-67.83
327,-79.56
328,-86.7
329,-95.37
330,-90.27
331,-69.36
332,-48.96
333,-35.7
334,-28.05
335,-24.48
336,-22.44
337,-32.13
338,-51.0
339,-63.24
340,-72.93
341,-87.72
342,-98.43
343,-91.29
344,-74.97
345,-62.73
346,-57.63
347,-58.14
348,-61.2
349,-68.34
350,-79.05
351,-86.7
352,-83.64
353,-66.81
354,-59.67
355,-72.42
356,-78.54
357,-78.54
358,-88.23
359,-95.88
360,-95.37
361,-101.49
362,-110.67
363,-114.24
364,-106.08
365,-91.29
366,-92.82
367,-96.39
368,-82.11
369,-69.36
370,-77.01
371,-88.74
372,-96.9
373,-113.22
374,-128.52
375,-122.91
376,-110.16
377,-107.1
378,-105.06
379,-106.59
380,-123.93
381,-133.62
382,-128.01
383,-125.46
384,-126.99
385,-129.54
386,-136.17
387,-141.27
388,-137.19
389,-127.5
390,-121.38
391,-118.32
392,-114.24
393,-121.89
394,-141.78
395,-146.88
396,-136.17
397,-141.78
398,-155.04
399,-146.88
400,-128.52
401,-126.48
402,-126.99
403,-106.59
404,-89.76
405,-91.29
406,-88.74
407,-81.6
408,-81.6
409,-89.25
410,-102.51
411,-108.12
412,-98.43
413,-84.66
414,-76.5
415,-64.77
416,-51.0
417,-43.35
418,-43.86
419,-54.57
420,-68.34
421,-76.5
422,-81.6
423,-95.37
424,-97.41
425,-73.44
426,-57.12
427,-61.2
428,-61.2
429,-58.65
430,-66.81
431,-79.05
432,-89.25
433,-91.29
434,-90.27
435,-88.23
436,-81.6
437,-79.05
438,-79.56
439,-68.34
440,-55.59
441,-61.2
442,-64.77
443,-52.02
444,-43.35
445,-45.39
446,-51.0
447,-61.2
448,-76.5
449,-79.56
450,-67.83
451,-59.16
452,-63.24
453,-72.93
454,-69.36
455,-60.69
456,-60.69
457,-59.16
458,-55.08
459,-66.81
460,-90.27
461,-93.84
462,-80.07
463,-75.99
464,-85.17
465,-93.84
466,-95.37
467,-87.72
468,-81.09
469,-81.6
470,-76.5
471,-76.5
472,-92.31
473,-94.35
474,-79.56
475,-77.01
476,-81.6
477,-78.54
478,-78.03
479,-83.13
480,-78.54
481,-70.38
482,-71.4
483,-75.99
484,-76.5
485,-81.6
486,-98.43
487,-110.16
488,-99.45
489,-87.72
490,-96.9
491,-102.0
492,-89.25
493,-86.19
494,-94.35
495,-96.9
496,-90.78
497,-80.07
498,-76.5
499,-81.09
500,-75.99
501,-67.83
502,-73.95
503,-78.54
504,-77.01
505,-72.42
506,-57.12
507,-45.39
508,-57.12
509,-68.34
510,-55.08
511,-43.86
512,-46.41
513,-47.43
514,-45.39
515,-50.49
516,-58.65
517,-74.97
518,-98.43
519,-102.51
520,-94.86
521,-96.9
522,-88.23
523,-69.36
524,-74.46
525,-93.33
526,-86.7
527,-65.79
528,-55.59
529,-52.02
530,-43.86
531,-33.66
532,-40.29
533,-64.26
534,-87.21
535,-96.39
536,-96.39
537,-96.39
538,-96.9
539,-89.76
540,-72.93
541,-54.57
542,-46.41
543,-46.41
544,-57.63
545,-83.64
546,-102.0
547,-99.96
548,-85.68
549,-75.48
550,-73.44
551,-76.5
552,-82.62
553,-91.29
554,-97.92
555,-90.78
556,-82.11
557,-78.54
558,-80.58
559,-89.25
560,-91.29
561,-81.6
562,-65.79
563,-58.65
564,-63.24
565,-71.91
566,-79.05
567,-75.99
568,-66.3
569,-60.18
570,-65.28
571,-74.97
572,-74.97
573,-58.65
574,-42.84
575,-43.86
576,-47.43
577,-53.04
578,-70.89
579,-85.17
580,-77.01
581,-65.28
582,-61.2
583,-56.61
584,-62.73
585,-77.52
586,-80.58
587,-77.52
588,-88.74
589,-96.39
590,-91.8
591,-100.98
592,-108.12
593,-90.27
594,-68.85
595,-72.93
596,-82.62
597,-78.03
598,-75.99
599,-78.54
600,-86.7
601,-103.53
602,-112.71
603,-110.67
604,-102.0
605,-91.29
606,-88.74
607,-95.37
608,-96.9
609,-97.41
610,-107.61
611,-119.34
612,-126.99
613,-123.93
614,-106.08
615,-89.76
616,-87.72
617,-96.39
618,-101.49
619,-106.59
620,-112.2
621,-110.16
622,-111.18
623,-117.81
624,-112.71
625,-102.51
626,-107.61
627,-124.44
628,-125.46
629,-107.61
630,-93.84
631,-90.78
632,-80.58
633,-77.52
634,-96.9
635,-111.69
636,-110.16
637,-107.61
638,-111.18
639,-110.16
640,-99.45
641,-95.88
642,-99.96
643,-95.88
644,-91.29
645,-87.21
646,-78.03
647,-74.97
648,-78.54
649,-73.95
650,-71.4
651,-74.97
652,-74.97
653,-73.44
654,-66.3
655,-64.26
656,-76.5
657,-85.17
658,-81.09
659,-75.48
660,-73.44
661,-73.95
662,-71.91
663,-63.75
664,-58.65
665,-60.18
666,-60.18
667,-61.2
668,-65.28
669,-75.48
670,-91.29
671,-98.43
672,-92.82
673,-83.13
674,-72.93
675,-67.83
676,-75.99
677,-84.66
678,-87.72
679,-91.8
680,-93.33
681,-90.27
682,-93.84
683,-91.8
684,-69.87
685,-55.59
686,-60.69
687,-57.63
688,-64.77
689,-91.8
690,-103.53
691,-96.39
692,-89.25
693,-79.56
694,-71.4
695,-84.15
696,-102.0
697,-103.02
698,-92.82
699,-90.27
700,-90.78
701,-77.01
702,-69.36
703,-75.99
704,-79.56
705,-80.07
706,-73.44
707,-58.14
708,-47.43
709,-45.9
710,-49.47
711,-52.02
712,-48.96
713,-52.53
714,-70.38
715,-85.17
716,-85.68
717,-71.91
718,-51.0
719,-51.0
720,-71.4
721,-78.03
722,-62.22
723,-54.06
724,-70.89
725,-77.01
726,-57.12
727,-56.61
728,-75.99
729,-72.93
730,-60.18
731,-59.67
732,-61.71
733,-70.89
734,-89.25
735,-97.92
736,-92.82
737,-94.86
738,-104.04
739,-94.35
740,-64.26
741,-46.41
742,-42.33
743,-39.78
744,-57.63
745,-79.05
746,-80.07
747,-86.19
748,-104.04
749,-102.0
750,-92.82
751,-94.86
752,-90.27
753,-89.76
754,-109.14
755,-114.24
756,-79.56
757,-38.25
